date,store_id,area,is_urban,income_level,store_size,storage_capacity,product_id,category,subcategory,base_price,margin,discount,is_promotional_period,credit_limit,customer_footfall,stock,seasonal_factor,festival_boost,actual_demand,daily_revenue,stock_days_remaining,competitor_price
2024-03-22 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0317,Home Essentials,Kitchen,67.55,15.86,7,True,90000,88,421,1.2,1.1,24,1394.3,13,65.72
2024-03-22 14:46:56.223769,STORE003,Nagpur North,False,medium,Small,800,P0809,Home Essentials,Storage,108.83,13.2,10,False,40000,76,132,1.2,1.1,11,1149.22,16,114.0
2024-03-22 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1607,Groceries,Snacks,48.39,14.24,1,False,50000,90,380,1.2,1.1,29,1305.08,16,47.43
2024-03-22 14:46:56.223769,STORE003,Nagpur North,False,medium,Small,800,P0938,Groceries,Staples,58.21,8.46,6,False,40000,75,231,1.2,1.1,18,943.03,12,57.63
2024-03-23 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0269,Home Essentials,Cleaning,112.4,19.11,1,False,90000,104,233,1.2,1.1,25,2500.85,18,112.05
2024-03-23 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0251,Groceries,Snacks,65.46,14.23,5,True,90000,107,505,1.2,1.1,29,1898.43,13,67.51
2024-03-23 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1925,Groceries,Snacks,198.38,12.28,13,False,50000,97,434,1.2,1.1,22,3928.02,10,190.37
2024-03-23 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1633,Home Essentials,Kitchen,216.75,15.22,3,True,50000,108,224,1.2,1.1,16,3398.64,23,223.87
2024-03-23 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1644,Personal Care,Healthcare,261.96,22.97,2,False,50000,85,269,1.2,1.1,19,4778.07,28,269.16
2024-03-23 14:46:56.223769,STORE004,Nagpur South,True,high,Medium,1100,P1319,Groceries,Staples,81.78,9.29,14,False,82500,82,448,1.2,1.1,22,1655.17,21,84.56
2024-03-23 14:46:56.223769,STORE004,Nagpur South,True,high,Medium,1100,P1553,Groceries,Snacks,191.89,10.8,15,False,82500,113,228,1.2,1.1,23,4281.16,9,183.15
2024-03-24 14:46:56.223769,STORE003,Nagpur North,False,medium,Small,800,P0903,Home Essentials,Cleaning,201.64,10.96,2,False,40000,68,225,1.2,1.1,11,2018.4,8,197.35
2024-03-24 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0549,Home Essentials,Cleaning,91.57,11.78,11,False,50000,92,395,1.2,1.1,20,1629.87,12,91.56
2024-03-24 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0246,Fresh Produce,Dairy,113.17,14.48,12,False,90000,90,847,1.2,1.1,44,4282.26,30,109.97
2024-03-24 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0579,Home Essentials,Kitchen,56.21,10.45,6,False,50000,77,276,1.2,1.1,15,817.85,7,55.44
2024-03-25 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0039,Home Essentials,Kitchen,233.83,11.27,6,False,90000,104,560,1.2,1.1,28,6023.54,23,237.2
2024-03-25 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1765,Groceries,Snacks,196.51,12.05,12,False,50000,76,183,1.2,1.1,18,3395.77,18,188.77
2024-03-25 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1629,Fresh Produce,Fruits,54.23,13.06,6,True,50000,92,324,1.2,1.1,32,1579.04,13,55.12
2024-03-25 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1867,Personal Care,Healthcare,180.94,20.85,4,False,50000,77,108,1.2,1.1,8,1433.06,12,188.2
2024-03-25 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1648,Groceries,Beverages,90.44,10.46,9,False,50000,99,592,1.2,1.1,30,2685.93,26,92.77
2024-03-26 14:46:56.223769,STORE003,Nagpur North,False,medium,Small,800,P0826,Groceries,Staples,63.03,13.45,4,False,40000,72,226,1.2,1.1,13,786.61,8,62.85
2024-03-26 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0488,Groceries,Staples,185.19,12.01,12,False,50000,98,661,1.2,1.1,37,6714.89,7,192.42
2024-03-26 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0770,Groceries,Beverages,199.44,12.83,13,False,50000,80,249,1.2,1.1,15,2961.65,16,190.68
2024-03-26 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0774,Home Essentials,Cleaning,100.9,10.24,3,False,50000,91,258,1.2,1.1,14,1257.26,9,102.75
2024-03-26 14:46:56.223769,STORE003,Nagpur North,False,medium,Small,800,P1194,Home Essentials,Storage,150.27,12.08,12,False,40000,73,87,1.2,1.1,9,1244.2,26,153.95
2024-03-27 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0237,Fresh Produce,Dairy,85.38,18.61,3,False,90000,101,596,1.2,1.1,32,2732.19,18,85.16
2024-03-27 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1915,Fresh Produce,Fruits,85.81,17.48,0,False,50000,100,228,1.2,1.1,24,1771.15,18,86.66
2024-03-27 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0257,Fresh Produce,Vegetables,74.44,18.34,14,False,90000,113,673,1.2,1.1,36,2358.24,7,74.21
2024-03-27 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1855,Groceries,Beverages,191.75,11.42,4,True,50000,95,299,1.2,1.1,23,4277.89,18,199.08
2024-03-27 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0328,Groceries,Beverages,172.0,13.83,14,False,90000,115,332,1.2,1.1,35,5297.68,29,172.11
2024-03-27 14:46:56.223769,STORE002,Nagpur West,True,medium,Medium,1000,P0497,Groceries,Beverages,149.08,12.29,11,False,50000,93,221,1.2,1.1,26,3527.29,17,146.11
2024-03-27 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0200,Home Essentials,Storage,195.82,16.27,14,False,90000,126,483,1.2,1.1,23,4098.47,12,192.8
2024-03-27 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1840,Home Essentials,Storage,188.31,11.83,9,True,50000,85,162,1.2,1.1,14,2267.22,26,183.06
2024-03-28 14:46:56.223769,STORE005,Nagpur Central,True,medium,Medium,1000,P1712,Fresh Produce,Dairy,119.34,12.4,4,False,50000,110,585,1.2,1.1,33,3426.2,26,114.08
2024-03-28 14:46:56.223769,STORE001,Nagpur East,True,high,Large,1200,P0053,Groceries,Snacks,151.98,14.22,13,True,90000,92,297,1.2,1.1,25,3723.52,29,154.62
