,ds,y,seasonal_factor,festival_boost,floor,t,y_scaled
0,2024-03-22 14:46:56.223769,24,1.3998019118873006,0.2811412961408902,0.0,0.0,0.48
1,2024-03-22 14:46:56.223769,11,1.3998019118873006,0.2811412961408902,0.0,0.0,0.22
2,2024-03-22 14:46:56.223769,29,1.3998019118873006,0.2811412961408902,0.0,0.0,0.58
3,2024-03-22 14:46:56.223769,18,1.3998019118873006,0.2811412961408902,0.0,0.0,0.36
4,2024-03-23 14:46:56.223769,25,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.5
5,2024-03-23 14:46:56.223769,29,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.58
6,2024-03-23 14:46:56.223769,22,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.44
7,2024-03-23 14:46:56.223769,16,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.32
8,2024-03-23 14:46:56.223769,19,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.38
9,2024-03-23 14:46:56.223769,22,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.44
10,2024-03-23 14:46:56.223769,23,1.3998019118873006,0.2811412961408902,0.0,0.0027397260273972603,0.46
11,2024-03-24 14:46:56.223769,11,1.3998019118873006,0.2811412961408902,0.0,0.005479452054794521,0.22
12,2024-03-24 14:46:56.223769,20,1.3998019118873006,0.2811412961408902,0.0,0.005479452054794521,0.4
13,2024-03-24 14:46:56.223769,44,1.3998019118873006,0.2811412961408902,0.0,0.005479452054794521,0.88
14,2024-03-24 14:46:56.223769,15,1.3998019118873006,0.2811412961408902,0.0,0.005479452054794521,0.3
15,2024-03-25 14:46:56.223769,28,1.3998019118873006,0.2811412961408902,0.0,0.00821917808219178,0.56
16,2024-03-25 14:46:56.223769,18,1.3998019118873006,0.2811412961408902,0.0,0.00821917808219178,0.36
17,2024-03-25 14:46:56.223769,32,1.3998019118873006,0.2811412961408902,0.0,0.00821917808219178,0.64
18,2024-03-25 14:46:56.223769,8,1.3998019118873006,0.2811412961408902,0.0,0.00821917808219178,0.16
19,2024-03-25 14:46:56.223769,30,1.3998019118873006,0.2811412961408902,0.0,0.00821917808219178,0.6
20,2024-03-26 14:46:56.223769,13,1.3998019118873006,0.2811412961408902,0.0,0.010958904109589041,0.26
21,2024-03-26 14:46:56.223769,37,1.3998019118873006,0.2811412961408902,0.0,0.010958904109589041,0.74
22,2024-03-26 14:46:56.223769,15,1.3998019118873006,0.2811412961408902,0.0,0.010958904109589041,0.3
23,2024-03-26 14:46:56.223769,14,1.3998019118873006,0.2811412961408902,0.0,0.010958904109589041,0.28
24,2024-03-26 14:46:56.223769,9,1.3998019118873006,0.2811412961408902,0.0,0.010958904109589041,0.18
